Rk,Player,Tm,Salary,,,,,,,-9999
1,Stephen Curry,GSW,$51915615,,,,,,,curryst01
2,Kevin Durant,PHO,$47649433,,,,,,,duranke01
3,Nikola Jokić,DEN,$47607350,,,,,,,jokicni01
4,Joel Embiid,PHI,$47607350,,,,,,,embiijo01
5,LeBron James,LAL,$47607350,,,,,,,jamesle01
6,Bradley Beal,PHO,$46741590,,,,,,,bealbr01
7,Giannis Antetokounmpo,MIL,$45640084,,,,,,,antetgi01
8,Kawhi Leonard,LAC,$45640084,,,,,,,leonaka01
9,Damian Lillard,MIL,$45640084,,,,,,,lillada01
10,Paul George,LAC,$45640084,,,,,,,georgpa01
11,Jimmy Butler,MIA,$45183960,,,,,,,butleji01
12,Klay Thompson,GSW,$43219440,,,,,,,thompkl01
13,Rudy Gobert,MIN,$41000000,,,,,,,goberru01
14,Fred VanVleet,HOU,$40806300,,,,,,,vanvlfr01
15,Anthony Davis,LAL,$40600080,,,,,,,davisan02
16,Trae Young,ATL,$40064220,,,,,,,youngtr01
17,Luka Dončić,DAL,$40064220,,,,,,,doncilu01
18,Zach LaVine,CHI,$40064220,,,,,,,lavinza01
19,Tobias Harris,PHI,$39270150,,,,,,,harrito02
20,Ben Simmons,BRK,$37893408,,,,,,,simmobe01
21,Pascal Siakam,IND,$37893408,,,,,,,siakapa01
22,Kyrie Irving,DAL,$37037037,,,,,,,irvinky01
23,Jrue Holiday,BOS,$36861707,,,,,,,holidjr01
24,Devin Booker,PHO,$36016200,,,,,,,bookede01
25,Karl-Anthony Towns,MIN,$36016200,,,,,,,townska01
26,Kristaps Porziņģis,BOS,$36016200,,,,,,,porzikr01
27,CJ McCollum,NOP,$35802469,,,,,,,mccolcj01
28,James Harden,LAC,$35640000,,,,,,,hardeja01
29,Zion Williamson,NOP,$34005250,,,,,,,willizi01
30,Ja Morant,MEM,$34005250,,,,,,,moranja01
31,Darius Garland,CLE,$34005250,,,,,,,garlada01
32,Brandon Ingram,NOP,$33833400,,,,,,,ingrabr01
33,Jamal Murray,DEN,$33833400,,,,,,,murraja01
34,Shai Gilgeous-Alexander,OKC,$33386850,,,,,,,gilgesh01
35,Michael Porter Jr.,DEN,$33386850,,,,,,,portemi01
36,Donovan Mitchell,CLE,$33162030,,,,,,,mitchdo01
37,De'Aaron Fox,SAC,$32600060,,,,,,,foxde01
38,Bam Adebayo,MIA,$32600060,,,,,,,adebaba01
39,Jayson Tatum,BOS,$32600060,,,,,,,tatumja01
40,Deandre Ayton,POR,$32459438,,,,,,,aytonde01
41,Jaylen Brown,BOS,$31830357,,,,,,,brownja02
42,Gordon Hayward,OKC,$31500000,,,,,,,haywago01
43,Chris Paul,GSW,$30800000,,,,,,,paulch01
44,Domantas Sabonis,SAC,$30600000,,,,,,,sabondo01
45,Kyle Lowry,CHO,$29682540,,,,,,,lowryky01
46,Khris Middleton,MIL,$29320988,,,,,,,middlkh01
47,DeMar DeRozan,CHI,$28600000,,,,,,,derozde01
48,Julius Randle,NYK,$28226880,,,,,,,randlju01
49,Jerami Grant,POR,$27586207,,,,,,,grantje01
50,Jordan Poole,WAS,$27455357,,,,,,,poolejo01
51,Jaren Jackson Jr.,MEM,$27102202,,,,,,,jacksja02
52,Tyler Herro,MIA,$27000000,,,,,,,herroty01
53,Jalen Brunson,NYK,$26346666,,,,,,,brunsja01
54,Cameron Johnson,BRK,$25679348,,,,,,,johnsca02
55,Kyle Kuzma,WAS,$25568182,,,,,,,kuzmaky01
56,John Collins,UTA,$25340000,,,,,,,collijo01
57,Brook Lopez,MIL,$25000000,,,,,,,lopezbr01
58,Mike Conley,MIN,$24360000,,,,,,,conlemi01
59,Andrew Wiggins,GSW,$24330357,,,,,,,wiggian01
60,Anfernee Simons,POR,$24107143,,,,,,,simonan01
61,RJ Barrett,TOR,$23883929,,,,,,,barrerj01
62,Jordan Clarkson,UTA,$23487629,,,,,,,clarkjo01
63,Terry Rozier,MIA,$23205221,,,,,,,roziete01
64,Dillon Brooks,HOU,$22627671,,,,,,,brookdi01
65,Malcolm Brogdon,POR,$22500000,,,,,,,brogdma01
66,Draymond Green,GSW,$22321429,,,,,,,greendr01
67,Aaron Gordon,DEN,$22266182,,,,,,,gordoaa01
68,Bruce Brown,TOR,$22000000,,,,,,,brownbr01
69,Mikal Bridges,BRK,$21700000,,,,,,,bridgmi01
70,Myles Turner,IND,$20975000,,,,,,,turnemy01
71,Clint Capela,ATL,$20616000,,,,,,,capelca01
72,Lonzo Ball,CHI,$20465117,,,,,,,balllo01
73,Spencer Dinwiddie,TOR,$21911797,,,,,,,dinwisp01
74,De'Andre Hunter,ATL,$20089286,,,,,,,huntede01
75,Keldon Johnson,SAS,$20000000,,,,,,,johnske04
76,Jarrett Allen,CLE,$20000000,,,,,,,allenja01
77,Bojan Bogdanović,NYK,$20000000,,,,,,,bogdabo02
78,Joe Harris,DET,$19928571,,,,,,,harrijo01
79,Jakob Poeltl,TOR,$19500000,,,,,,,poeltja01
80,Buddy Hield,PHI,$19279841,,,,,,,hieldbu01
81,Evan Fournier,DET,$18857143,,,,,,,fournev01
82,Marcus Smart,MEM,$18833713,,,,,,,smartma01
83,Bogdan Bogdanović,ATL,$18700000,,,,,,,bogdabo01
84,OG Anunoby,NYK,$18642857,,,,,,,anunoog01
85,Gary Trent Jr.,TOR,$18560000,,,,,,,trentga02
86,Nikola Vučević,CHI,$18518519,,,,,,,vucevni01
87,Derrick White,BOS,$18357143,,,,,,,whitede01
88,Dejounte Murray,ATL,$18214000,,,,,,,murrade01
89,Duncan Robinson,MIA,$18154000,,,,,,,robindu01
90,Norman Powell,LAC,$18000000,,,,,,,powelno01
91,Tim Hardaway Jr.,DAL,$17897728,,,,,,,hardati02
92,Jonathan Isaac,ORL,$17400000,,,,,,,isaacjo01
93,Collin Sexton,UTA,$17325000,,,,,,,sextoco01
94,D'Angelo Russell,LAL,$17307693,,,,,,,russeda01
95,Lauri Markkanen,UTA,$17259999,,,,,,,markkla01
96,Marcus Morris,SAS,$17116279,,,,,,,morrima03
97,Harrison Barnes,SAC,$17000000,,,,,,,barneha02
98,Dāvis Bertāns,CHO,$17000000,,,,,,,bertada01
99,Markelle Fultz,ORL,$17000000,,,,,,,fultzma01
100,Jusuf Nurkić,PHO,$16875000,,,,,,,nurkiju01
101,P.J. Washington,DAL,$16847826,,,,,,,washipj01
102,Kevin Porter Jr.,OKC,$15860000,,,,,,,porteke02
103,Rui Hachimura,LAL,$15740741,,,,,,,hachiru01
104,Mitchell Robinson,NYK,$15681818,,,,,,,robinmi01
105,Kevin Huerter,SAC,$15669643,,,,,,,huertke01
106,Jonas Valančiūnas,NOP,$15435000,,,,,,,valanjo01
107,Caris LeVert,CLE,$15384616,,,,,,,leverca01
108,Luguentz Dort,OKC,$15277778,,,,,,,dortlu01
109,Luke Kennard,MEM,$14763636,,,,,,,kennalu01
110,Kentavious Caldwell-Pope,DEN,$14704938,,,,,,,caldwke01
111,Max Strus,CLE,$14487684,,,,,,,strusma01
112,Tyus Jones,WAS,$14000000,,,,,,,jonesty01
113,Dorian Finney-Smith,BRK,$13932008,,,,,,,finnedo01
114,Doug McDermott,IND,$13750000,,,,,,,mcderdo01
115,Anthony Edwards,MIN,$13534817,,,,,,,edwaran01
116,Wendell Carter Jr.,ORL,$13050000,,,,,,,cartewe01
117,Gary Harris,ORL,$13000000,,,,,,,harriga01
118,Josh Hart,NYK,$12960000,,,,,,,hartjo01
119,Naz Reid,MIN,$12950400,,,,,,,reidna01
120,Steven Adams,HOU,$12600000,,,,,,,adamsst01
121,Brandon Clarke,MEM,$12500000,,,,,,,clarkbr01
122,Marvin Bagley III,WAS,$12500000,,,,,,,baglema01
123,Grant Williams,CHO,$12405000,,,,,,,willigr01
124,Dennis Schröder,BRK,$12405000,,,,,,,schrode01
125,Daniel Gafford,DAL,$12402000,,,,,,,gaffoda01
126,Kelly Olynyk,TOR,$12195122,,,,,,,olynyke01
127,Victor Wembanyama,SAS,$12160680,,,,,,,wembavi01
128,James Wiseman,DET,$12119440,,,,,,,wisemja01
129,Devonte' Graham,SAS,$12100000,,,,,,,grahade01
130,Richaun Holmes,WAS,$12046020,,,,,,,holmeri01
131,Herbert Jones,NOP,$12015150,,,,,,,joneshe01
132,Austin Reaves,LAL,$12015150,,,,,,,reaveau01
133,Chris Boucher,TOR,$11750000,,,,,,,bouchch01
134,Bobby Portis,MIL,$11710818,,,,,,,portibo01
135,Nicolas Batum,PHI,$11710818,,,,,,,batumni01
136,Robert Covington,PHI,$11692308,,,,,,,covinro01
137,Paolo Banchero,ORL,$11608080,,,,,,,banchpa01
138,Robert Williams,POR,$11571429,,,,,,,williro04
139,Coby White,CHI,$11111111,,,,,,,whiteco01
140,Cade Cunningham,DET,$11055360,,,,,,,cunnica01
141,Talen Horton-Tucker,UTA,$11020000,,,,,,,hortota01
142,P.J. Tucker,LAC,$11014500,,,,,,,tuckepj01
143,Reggie Bullock,SAS,$13033786,,,,,,,bullore01
144,Maxi Kleber,DAL,$11000000,,,,,,,klebima01
145,Joe Ingles,ORL,$11000000,,,,,,,inglejo01
146,Ivica Zubac,LAC,$10933333,,,,,,,zubaciv01
147,LaMelo Ball,CHO,$10900635,,,,,,,ballla01
148,Donte DiVincenzo,NYK,$10900000,,,,,,,divindo01
149,Brandon Miller,CHO,$10880400,,,,,,,millebr02
150,Terance Mann,LAC,$10576923,,,,,,,mannte01
151,Gabe Vincent,LAL,$10500000,,,,,,,vincega01
152,Matisse Thybulle,POR,$10500000,,,,,,,thybuma01
153,Alec Burks,NYK,$10489600,,,,,,,burksal01
154,Chet Holmgren,OKC,$10386000,,,,,,,holmgch01
155,Larry Nance Jr.,NOP,$10375000,,,,,,,nancela02
156,Landry Shamet,WAS,$10250000,,,,,,,shamela01
157,Al Horford,BOS,$10000000,,,,,,,horfoal01
158,Malik Monk,SAC,$9945830,,,,,,,monkma01
159,Tre Jones,SAS,$9895833,,,,,,,jonestr01
160,Jalen Green,HOU,$9891480,,,,,,,greenja05
161,Patrick Williams,CHI,$9835881,,,,,,,willipa01
162,Monte Morris,MIN,$9800926,,,,,,,morrimo01
163,Scoot Henderson,POR,$9770880,,,,,,,hendesc01
164,Nic Claxton,BRK,$9625000,,,,,,,claxtni01
165,Jeff Green,HOU,$9600000,,,,,,,greenje02
166,Royce O'Neale,PHO,$9500000,,,,,,,onealro01
167,Alex Caruso,CHI,$9460000,,,,,,,carusal01
168,Victor Oladipo,MEM,$9450000,,,,,,,oladivi01
169,Pat Connaughton,MIL,$9423869,,,,,,,connapa01
170,Jabari Smith Jr.,HOU,$9326520,,,,,,,smithja05
171,Isaiah Hartenstein,NYK,$9245121,,,,,,,harteis01
172,Kyle Anderson,MIN,$9219512,,,,,,,anderky01
173,Grayson Allen,PHO,$8925000,,,,,,,allengr01
174,Isaac Okoro,CLE,$8920795,,,,,,,okorois01
175,Evan Mobley,CLE,$8882640,,,,,,,mobleev01
176,Amen Thompson,HOU,$8809320,,,,,,,thompam01
177,Georges Niang,CLE,$8800000,,,,,,,niangge01
178,Gary Payton II,GSW,$8715000,,,,,,,paytoga02
179,T.J. McConnell,IND,$8700000,,,,,,,mccontj01
180,Keegan Murray,SAC,$8409000,,,,,,,murrake02
181,Delon Wright,WAS,$8195122,,,,,,,wrighde01
182,Onyeka Okongwu,ATL,$8109063,,,,,,,okongon01
183,Scottie Barnes,TOR,$8008680,,,,,,,barnesc01
184,Jock Landale,HOU,$8000000,,,,,,,landajo01
185,Trey Lyles,SAC,$8000000,,,,,,,lylestr01
186,De'Anthony Melton,PHI,$8000000,,,,,,,meltode01
187,Moritz Wagner,ORL,$8000000,,,,,,,wagnemo01
188,Thaddeus Young,BRK,$8000000,,,,,,,youngth01
189,Ausar Thompson,DET,$7977480,,,,,,,thompau01
190,Miles Bridges,CHO,$7921300,,,,,,,bridgmi02
191,Vasilije Micić,CHO,$7723000,,,,,,,micicva01
192,Paul Reed,PHI,$7723000,,,,,,,reedpa01
193,Zach Collins,SAS,$7700000,,,,,,,colliza01
194,Jaden Ivey,DET,$7614480,,,,,,,iveyja01
195,Cody Martin,CHO,$7560000,,,,,,,martico01
196,Kevon Looney,GSW,$7500000,,,,,,,looneke01
197,Killian Hayes,DET,$7413955,,,,,,,hayeski01
198,Jalen Suggs,ORL,$7252080,,,,,,,suggsja01
199,Anthony Black,ORL,$7245480,,,,,,,blackan01
200,Khem Birch,SAS,$6985000,,,,,,,birchkh01
201,Daniel Theis,IND,$8670002,,,,,,,theisda01
202,Bennedict Mathurin,IND,$6916080,,,,,,,mathube01
203,Obi Toppin,IND,$6803012,,,,,,,toppiob01
204,Caleb Martin,MIA,$6802950,,,,,,,martica02
205,John Wall,HOU,$6802950,,,,,,,walljo01
206,Danilo Gallinari,DET,$6802950,,,,,,,gallida01
207,Patty Mills,ATL,$6802950,,,,,,,millspa02
208,Cedi Osman,SAS,$6718842,,,,,,,osmande01
209,Bilal Coulibaly,WAS,$6614280,,,,,,,coulibi01
210,Josh Giddey,OKC,$6587040,,,,,,,giddejo01
211,Cameron Payne,SAS,$8519706,,,,,,,payneca01
212,Jae'Sean Tate,HOU,$6500000,,,,,,,tateja01
213,Ayo Dosunmu,CHI,$6481482,,,,,,,dosunay01
214,Rudy Gay,OKC,,,,,,,,gayru01
215,Sasha Vezenkov,SAC,$6341464,,,,,,,vezenal01
216,Shaedon Sharpe,POR,$6313800,,,,,,,sharpsh01
217,Otto Porter Jr.,UTA,$6300000,,,,,,,porteot01
218,Deni Avdija,WAS,$6263188,,,,,,,avdijde01
219,Nassir Little,PHO,$6250000,,,,,,,littlna01
220,Jevon Carter,CHI,$6190476,,,,,,,carteje01
221,Kenrich Williams,OKC,$6175000,,,,,,,willike04
222,Jarace Walker,IND,$6059520,,,,,,,walkeja02
223,Jonathan Kuminga,GSW,$6012840,,,,,,,kuminjo01
224,Devin Vassell,SAS,$5887899,,,,,,,vassede01
225,Tyrese Haliburton,IND,$5808435,,,,,,,halibty01
226,Dyson Daniels,NOP,$5784120,,,,,,,daniedy01
227,Kira Lewis Jr.,UTA,$5722116,,,,,,,lewiski01
228,Dean Wade,CLE,$5709877,,,,,,,wadede01
229,Aaron Nesmith,IND,$5634257,,,,,,,nesmiaa01
230,Taylor Hendricks,UTA,$5569920,,,,,,,hendrita01
231,Cole Anthony,ORL,$5539771,,,,,,,anthoco01
232,Franz Wagner,ORL,$5508720,,,,,,,wagnefr01
233,Furkan Korkmaz,IND,$5370370,,,,,,,korkmfu01
234,Jeremy Sochan,SAS,$5316960,,,,,,,sochaje01
235,Cason Wallace,OKC,$5291400,,,,,,,wallaca01
236,Isaiah Stewart,DET,$5266713,,,,,,,stewais01
237,Chuma Okeke,ORL,$5266713,,,,,,,okekech01
238,Davion Mitchell,SAC,$5063640,,,,,,,mitchda01
239,Johnny Davis,WAS,$5050800,,,,,,,davisjo06
240,Jalen Smith,IND,$5043773,,,,,,,smithja04
241,Jett Howard,ORL,$5026800,,,,,,,howarje01
242,Aleksej Pokusevski,OKC,$5009633,,,,,,,pokusal01
243,Nick Richards,CHO,$5000000,,,,,,,richani01
244,Bismack Biyombo,MEM,$5754488,,,,,,,biyombi01
245,Mason Plumlee,LAC,$5000000,,,,,,,plumlma01
246,Shake Milton,DET,$5000000,,,,,,,miltosh01
247,Reggie Jackson,DEN,$5000000,,,,,,,jacksre01
248,Ziaire Williams,MEM,$4810200,,,,,,,willizi02
249,Ousmane Dieng,OKC,$4798440,,,,,,,diengou01
250,Dereck Lively II,DAL,$4775640,,,,,,,livelde01
251,Josh Green,DAL,$4765339,,,,,,,greenjo02
